Activity_ID,SMILES,target_id,pchembl_value_Mean
GNMGTHXPOHHXCC_on_P14416_WT,CCCN(CCN1CCN(c2ccccc2)CC1)C1CCc2cc(O)c(O)cc2C1,P14416_WT,7.15
GNOHLPXINNYCLR_on_P14416_WT,C=CCN1CCC2Cc3c(O)cccc3CC21,P14416_WT,7.593333333333333
GNQMAWAOPDTCCX_on_P14416_WT,COc1ccccc1N1CCN(CCCCCCNC(=O)c2ccc3ccccc3c2)CC1,P14416_WT,6.92
GNQOCBGVODGUEX_on_P14416_WT,CC(C)N1CCN(CCN2CCN(c3cccc(OC(F)(F)F)c3)C2=O)CC1,P14416_WT,6.6
GNSTWTHQXOJWPR_on_P14416_WT,COc1ccccc1N1CCC2(CCN(CCCSc3nnc(-c4ccc(F)cc4)n3C)CC2)CC1,P14416_WT,4.8
GNVATANRVUMZDM_on_P14416_WT,Cc1ncoc1-c1nnc(SCC(O)CN2CCC3(CC3c3ccc(C(F)(F)F)cc3)C2)n1C,P14416_WT,5.76
GNYULWALHKFYNF_on_P14416_WT,CNC1c2cc3ccn(S(=O)(=O)c4ccccc4)c3cc2C1CCO,P14416_WT,4.8
GOESYBVAFIXBFO_on_P14416_WT,COc1ccccc1N1CCC2(CCN(CCCCNC(=O)c3ccc(N(C)C)cc3)CC2)CC1,P14416_WT,5.42
GOFKTWKLJPDQCU_on_P14416_WT,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,P14416_WT,6.5
GOGFNQYGVYCYHI_on_P14416_WT,COCC(=O)NC1CCC(CCN2CCC(c3cccc4c3OCO4)CC2)CC1,P14416_WT,6.29
GOLAHDQVVNCLCU_on_P14416_WT,Cc1ncoc1-c1nnc(SCCCN2CC3CCN(c4ccc(C(F)(F)F)cc4)C3C2)n1C,P14416_WT,6.7
GOLNRSNUPWOWEJ_on_P14416_WT,CSc1ccccc1OCCN1CCC(CNS(=O)(=O)c2cccc(Cl)c2)CC1,P14416_WT,7.3
GOPCNWYYZCPBLJ_on_P14416_WT,C#CC1=CCC(N(CCC)CCCCn2cc(-c3ccc(-c4ccccc4)cc3)nn2)CC1,P14416_WT,6.49
GORHDCZLLBWZAU_on_P14416_WT,CCN1CCN2c3cccc4[nH]cc(c34)CC2C1,P14416_WT,6.85
GOXSCSXBUIMWDE_on_P14416_WT,CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccccc3F)c3ccccc32)CC1,P14416_WT,6.43
GOXUZWWTKIXHQU_on_P14416_WT,Cc1ccc(C(=O)NC2CCC(CCN3CCC(c4cccc5c4OCO5)CC3)CC2)cn1,P14416_WT,6.88
GOZPYYFAYISDDO_on_P14416_WT,CCc1cc(-c2ccoc2)nc(N2CCN(C)CC2)n1,P14416_WT,6.33
GPALOBCMKKYZEA_on_P14416_WT,CCc1cc(Cl)c(OC)c(N2CCNCC2)c1,P14416_WT,6.21
GPDZHKOGLHALQL_on_P14416_WT,Cn1c(SCCCN2CCC3(CC3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cnccn1,P14416_WT,6.085
GPGHBMYFNAXDPU_on_P14416_WT,CN1CCN(c2nc(N)nc(COc3ccccc3Cl)n2)CC1,P14416_WT,5.63
GPICSZOLXGYSHL_on_P14416_WT,CC1CN(c2ccccc2-c2ccccc2)CCN1CCCCCC(=O)NCc1ccccc1,P14416_WT,6.68
GPOXSHFDBBJUJR_on_P14416_WT,O=C1N(CCN2CCCCCC2)CCN1c1cccc(C(F)(F)F)c1,P14416_WT,8.8
GPUXMPIFNAGRSF_on_P14416_WT,O=C(NC1CCC(CCN2CCC(c3coc4ccccc34)CC2)CC1)C1CCC(C(F)(F)F)CC1,P14416_WT,7.14
GPVQRHUFRWEYGC_on_P14416_WT,CN(CCN1CCN(c2cccc(C(F)(F)F)c2)C1=O)CC12CCC(CC1)C2(C)C,P14416_WT,7.7
GPZGUIZYGOLWTO_on_P14416_WT,CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3c(N)cccc3Cl)c3ccccc32)CC1,P14416_WT,6.3
GQELUVZMNVVOHX_on_P14416_WT,O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3ncccc32)CC1,P14416_WT,6.19
GQPJBOOQHWEOKT_on_P14416_WT,O=C(C=Cc1ccccc1)NCCCCN1CCc2ccccc2C1,P14416_WT,5.9
GQPOGVMYXNWAPK_on_P14416_WT,COC1CCC(CC(=O)NC2CCC(CCN3CCN(c4cccc5c4OCO5)CC3)CC2)C1,P14416_WT,6.74
GQVQHZLEHMPPJD_on_P14416_WT,O=C1CC(CN2CCC(c3noc4cc(F)ccc34)CC2)Cc2[nH]ncc21,P14416_WT,6.95
GQYBHQJQIKLJET_on_P14416_WT,O=C(NCC=CCN1CCN(c2ccccc2OCCF)CC1)c1ccc(OCCOCCF)cc1,P14416_WT,7.19
GRDOSKIKNBNPPI_on_P14416_WT,O=C(c1ccccc1)N1CCC(NCCSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,P14416_WT,5.54
GRGGMNIWCOHOKK_on_P14416_WT,COC(C)C(=O)NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1,P14416_WT,6.71
GRGMUZDLZOQJFY_on_P14416_WT,OC1(c2ccc(Br)cc2)CCN(Cc2cc3ccccc3o2)CC1,P14416_WT,7.76
GRLCSEWTOACLTP_on_P14416_WT,CC(C)Oc1ccccc1N1CCN(C2CCC(NC(=O)Nc3c(F)cccc3F)CC2)CC1,P14416_WT,8.14
GRNSMKAYAMENDT_on_P14416_WT,Cc1ccc2c(OCCN3CCC(Cc4cc5c(cc4F)OCC(=O)N5)CC3)cc(Cl)cc2n1,P14416_WT,5.5
GRQQDQSHIQXVLZ_on_P14416_WT,Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(C4CCCC4)n2C)CC3)no1,P14416_WT,6.6
GRSMDZFQRIQAGW_on_P14416_WT,CCCCN1CCc2cc(C#N)ccc2C1,P14416_WT,5.08
GRSPAVQNQLAIED_on_P14416_WT,Cc1cc2occc2c(N2CCN(CCC3CCC(NC(=O)C4CCOCC4)CC3)CC2)n1,P14416_WT,6.56
GRUWUINXLANFJE_on_P14416_WT,O=C(NCCCCN1CCN(c2ccccc2OCCF)CC1)c1ccc(OCCF)cc1,P14416_WT,7.82
GRVLMLNWRPYTRK_on_P14416_WT,O=S(=O)(c1ccccc1)n1ccc2c(N3CCN(CCCCOc4ccccc4)CC3)cccc21,P14416_WT,7.21
GRZVXITWIIKNCX_on_P14416_WT,CN1CCN(CCCN2C(=O)c3ccccc3C=Cc3ccccc32)CC1,P14416_WT,5.12
GSEFGWJFHUAOCL_on_P14416_WT,O=C(NC1CCC(CCN2CCC(c3cccc4c3CCO4)CC2)CC1)C1CCOC1,P14416_WT,6.87
GSHJIIAYCVNFDZ_on_P14416_WT,COc1ccc2c(c1)c(C1=CCNCC1)cn2S(=O)(=O)c1cncc2ccccc12,P14416_WT,5.48
GSIBLYYMECNRRS_on_P14416_WT,O=C(NCCC(O)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cnc2ccc(F)cc2c1,P14416_WT,6.08
GSJUQPJCKBBTAO_on_P14416_WT,CN1CCCc2cc(O)ccc2Cc2ccccc2CC1,P14416_WT,6.29
GSRZQXGOVFSDAD_on_P14416_WT,Fc1ccc2c(C3CCN(CCCOc4ccc(CN5CCCCC5)c(F)c4)CC3)noc2c1,P14416_WT,7.94
GSYFEKZSWFXBAB_on_P14416_WT,COc1ccccc1N1CCN(Cc2cn3nc(Cl)ccc3n2)CC1,P14416_WT,7.06
GSYXWIMVZURMCS_on_P14416_WT,CN1CCN(C2=Nc3ccccc3Sc3ccc(F)cc32)CC1,P14416_WT,8.96
GSZBDACNBVTFKJ_on_P14416_WT,COC1CCC(CC(=O)NC2CCC(CCN3CCN(c4nccc5sccc45)CC3)CC2)CC1,P14416_WT,6.52
GTBCNDPVHSBZNR_on_P14416_WT,O=C(NCCC(F)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2,P14416_WT,5.37
GTBFEJIEYNPFMI_on_P14416_WT,Fc1ccc(CCCCN2CCN(c3ncccn3)CC2)cc1,P14416_WT,6.57
GTBOVEUYOKQEIH_on_P14416_WT,COc1ccccc1N1CCN(CC=CCNC(=O)c2cc(Br)ccc2OCCF)CC1,P14416_WT,7.87
GTEVNWICMPGDLY_on_P14416_WT,COc1ccccc1N1CCN(CCCCCc2cn(-c3ccc(F)cc3)nn2)CC1,P14416_WT,7.62
GTISUCALIQQFFX_on_P14416_WT,Cc1cccc(N2CCN(CCCCNC(=O)C3CCc4ccccc4N3)CC2)c1,P14416_WT,5.47
GTJVZGFQTWRYQO_on_P14416_WT,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CCC(C#N)(c2ccccc2)c2ccccc2)c1O,P14416_WT,4.91
GTLZGWIJAYPBBN_on_P14416_WT,CC(C)(C)c1nc(N2CCN(CCCCNC(=O)CCc3ccccc3)CC2)cc(C(F)(F)F)n1,P14416_WT,6.61
GTNQPSDMJWWWGY_on_P14416_WT,CCOC(=O)Nc1cccc(N2CCN(CCCCNC(=O)c3ccc4ccccc4c3)CC2)c1,P14416_WT,6.04
GTRAXVNCZVAHOO_on_P14416_WT,O=C(NCC=CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2cccc(=O)[nH]2)cc1,P14416_WT,7.63
GTVPXEVAFBWKHY_on_P14416_WT,COc1ccccc1N1CCN(CCCCCNC(=O)c2nnn(Cc3ccccc3Br)c2C)CC1,P14416_WT,8.775
GTWOHZJMQWACQH_on_P14416_WT,O=S(=O)(NC1CCN(CCOc2ccccc2-c2ccccc2)C1)c1ccc(F)cc1,P14416_WT,7.9
GTZGOAZVYIYKPQ_on_P14416_WT,CCCCC(Oc1cc(Cl)ccc1Cl)c1nc(N)nc(N2CCN(C)CC2)n1,P14416_WT,6.99
GTZSQZPMHIHCCP_on_P14416_WT,CC(C)(C)c1nc(N2CCN(CCCCN3C(=O)CCCc4ccccc43)CC2)cc(C(F)(F)F)n1,P14416_WT,6.93
GUALSDMCGOLFSS_on_P14416_WT,O=C(NC1CCC(CCN2CCc3ccccc3C2)CC1)Oc1ccccc1,P14416_WT,6.04
GUGMHFQRQQBWKY_on_P14416_WT,O=C(NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1)C1CC(Cl)C1,P14416_WT,7.09
GUKSVDQGXPESAC_on_P14416_WT,O=C(CC1CC1)NC1CCC(CCN2CCC(c3cccc4c3CCO4)CC2)CC1,P14416_WT,6.57
GUOJBWOHCJIFQW_on_P14416_WT,Cc1ccc(CNCC2(F)CCN(C(=O)c3coc4ccccc34)CC2)nc1,P14416_WT,4.5600000000000005
GUOQPFNLBAXWIZ_on_P14416_WT,Fc1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1,P14416_WT,7.43
GUTXTARXLVFHDK_on_P14416_WT,CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,P14416_WT,9.04
GUWMGLWQORYQFJ_on_P14416_WT,COc1ccccc1C(c1ccccc1)N1CCN(CCCCNC(=O)c2cc3ccccc3s2)CC1,P14416_WT,6.2
GUYNDWJTGRMJFT_on_P14416_WT,CC(C)(C)c1nc(N2CCN(CCCCn3c(=O)cc(O)c4ccccc43)CC2)cc(C(F)(F)F)n1,P14416_WT,6.85
GUZVTLAJXNRRJR_on_P14416_WT,NC(=O)c1ccccc1OCCCN1CC=C(c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1,P14416_WT,6.8
GVCYHQGCEQPNRF_on_P14416_WT,CC(O)CN1C(C)CN(CCSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1C,P14416_WT,4.92
GVELBPROBDYNNT_on_P14416_WT,COc1ccccc1N1CCN(CCCNC(=O)NN(Cc2ccc(-c3ccccc3)cc2)c2ccc(F)cc2)CC1,P14416_WT,7.115
GVJCGWLQVQHHKA_on_P14416_WT,O=C(NCCCCN1CCN(c2ccccc2)CC1)c1cn2ccccc2n1,P14416_WT,6.75
GVNRTSAPTNNIPL_on_P14416_WT,CCCN(CCCCNC(=O)c1cc2ccccc2[nH]1)CC1CC1c1cc(F)ccc1OC,P14416_WT,6.29
GVOGXTVYHLDSDH_on_P14416_WT,CCCN1CCOC2c3cc(C(=O)NC)ccc3CCC21,P14416_WT,5.1
GVOWTPVTYQMHDU_on_P14416_WT,COc1ccccc1N1CCN(CCCCNc2nccc3ccccc23)CC1,P14416_WT,9.0
GVWRDZDVMQQZBK_on_P14416_WT,O=C1CC2(CCCC2)CC(=O)N1CCCCNC1CCc2c(F)cccc2C1,P14416_WT,7.17
GVZVJCKGJVWISH_on_P14416_WT,COc1ccccc1N1CCN(Cc2cn(-c3ccc(OCCCOCCF)cc3)nn2)CC1,P14416_WT,6.235
GWAQIWMRFSAOHA_on_P14416_WT,COc1ccc(N2CCN(CCCCOc3ccc4c(c3)NC(=O)CC4)CC2)cc1,P14416_WT,6.99
GWDIEKMJVLZAJF_on_P14416_WT,O=S(=O)(c1cccc2ncccc12)N1CCC(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)CC1,P14416_WT,6.83
GWEQOXQOCNABLR_on_P14416_WT,O=C(NC1CCC(CCN2CCC(c3cccc4c3OCO4)CC2)CC1)C1(C(F)(F)F)CC1,P14416_WT,6.61
GWGIUBSVFHLVKW_on_P14416_WT,Cc1c(OCCCCN2CCN(c3cccc4ccccc34)CC2)ccc2c1C(=O)NC2,P14416_WT,7.88
GWGVZWMERZAHNI_on_P14416_WT,COc1ccccc1N1CCCN(CCCCNC(=O)c2ccc(Br)s2)CC1,P14416_WT,7.36
GWZPCOVXCOPKJA_on_P14416_WT,Cc1cc(C)c2c(N)c(C(=O)NCCCCCCN3CCC(O)(c4ccc(Cl)cc4)CC3)sc2n1,P14416_WT,6.01
GXAWEOGMNHTNSL_on_P14416_WT,O=C(NCC=CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1O,P14416_WT,8.18
GXHLJIAHGPNYES_on_P14416_WT,O=S(=O)(c1cccc2ncccc12)N1CCCC1CCN1CCN(c2cccc3c2OCCO3)CC1,P14416_WT,7.904999999999999
GXJGVXJVSZWVLE_on_P14416_WT,O=S(=O)(NC1CCN(CCOc2ccccc2-c2ccccc2)C1)c1cccs1,P14416_WT,7.8
GXRRIZYXGPLXKK_on_P14416_WT,CN(C)C(=O)CCC(=O)NC1CCC(CCN2CCC(c3cccc4c3CCO4)CC2)CC1,P14416_WT,5.97
GXSJLZZVCQCUTH_on_P14416_WT,CCCCN1CCN(c2cccc(Cl)c2Cl)CC1,P14416_WT,8.47
GXSSUFRMGVMARC_on_P14416_WT,O=c1c(-c2ccccc2Cl)c2n(c(=O)n1CCCCN1CCCC(c3c[nH]c4ccccc34)C1)CCCC2,P14416_WT,6.05
GXVCWWLYAQAZCU_on_P14416_WT,CN(C)C(=O)CCC(=O)NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1,P14416_WT,5.59
GXZWKZAOGQRNTL_on_P14416_WT,O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2ccccc2s1,P14416_WT,8.719999999999999
GYEMKOUGMLMNRE_on_P14416_WT,CN(C)C1Cc2cccc3[nH]c(=O)n(c23)C1,P14416_WT,7.92
GYEZZFVNEZKQSN_on_P14416_WT,O=C1CCc2c(cccc2N2CCN(CCCc3c[nH]c4ccccc34)CC2)N1,P14416_WT,7.94
GYKDCMFZJCNANX_on_P14416_WT,O=C(c1ccc(F)cc1)C1CCN(CCC2CCc3occc3C2=O)CC1,P14416_WT,6.14
GYNZQBCSTGHPIZ_on_P14416_WT,O=C1c2cccc3cccc(c23)N1CCCCCCN1CCN(c2ccc(Br)cc2)CC1,P14416_WT,6.69
GYVLPHYAFKCJIG_on_P14416_WT,O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)C1CC1,P14416_WT,7.68
GYWXJONOYHIRDG_on_P14416_WT,O=C1CC(CN2CCC(c3c[nH]c4cc(F)ccc34)CC2)Cc2nc(N3CCCC3)sc21,P14416_WT,6.8
GYZQENOTEUQFGR_on_P14416_WT,O=C(NC1CCC(CCN2CCC(c3cccc4c3OCO4)CC2)CC1)c1ccc(F)cc1,P14416_WT,6.63
GZFSOKPLNMYPCE_on_P14416_WT,OC1(c2ccc(Cl)c(Cl)c2)CC2CCC(C1)N2Cc1c[nH]c2ccccc12,P14416_WT,7.45
GZGMMCKOZRMGDA_on_P14416_WT,CCC(=O)NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1,P14416_WT,7.13
GZKLJWGUPQBVJQ_on_P14416_WT,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,P14416_WT,9.35
GZMWGZHXHSTIMC_on_P14416_WT,c1ccc(C2=NC(CN3CCN(c4ccccc4)CC3)CS2)cc1,P14416_WT,5.97
GZNLRQUVYFCLCG_on_P14416_WT,O=CNC1CCC(CCN2CCC(c3cccc4c3CCO4)CC2)CC1,P14416_WT,6.78
GZPSXBZOGITRGD_on_P14416_WT,Cn1c(SCCCN2CCC3(CC2)CCN(c2ccccc2OCCF)CC3)nnc1-c1ccccc1,P14416_WT,5.2
GZPZODMRVSFNMX_on_P14416_WT,Cc1ccc2c(c1)C(C1=CC(C)N(C)CC1)=Nc1cc(Cl)ccc1N2,P14416_WT,7.2
GZVBVBMMNFIXGE_on_P14416_WT,CCCN1CCCC(c2cccc(S(C)(=O)=O)c2)C1,P14416_WT,5.765000000000001
GZVVQJFPHWQITG_on_P14416_WT,CCc1cccc(N2CCN(CCC(c3cccc(O)c3)c3cccc(O)c3)CC2)c1Cl,P14416_WT,6.73
HAABSCYMCZRVTB_on_P14416_WT,O=C(NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccccc1,P14416_WT,6.32
HABUIFJVLTUADB_on_P14416_WT,CCCN1CCC(n2c(=O)n(C)c3cc(Cl)ccc32)CC1,P14416_WT,5.495
HACFIQPIDCCMMT_on_P14416_WT,O=c1[nH]c2c(N3CCN(CCC4CCCN4S(=O)(=O)c4cncc5ccccc45)CC3)cccc2o1,P14416_WT,8.11
HAMNVKXXPQTQTJ_on_P14416_WT,O=C(Cc1ccc2c(c1)OCO2)NC1CCC(CCN2CCC(c3cccc4c3OCO4)CC2)CC1,P14416_WT,6.49
HAQWHYZIBLSPID_on_P14416_WT,CC(C)(C)c1nc(N2CCN(CCCCn3cc(Cl)ccc3=O)CC2)cc(C(F)(F)F)n1,P14416_WT,6.89
HAULDNLFSXGWJR_on_P14416_WT,CCn1cncc1-c1c[nH]c2c(F)cc(I)cc12,P14416_WT,5.52
HAUVXRLEPNGKLS_on_P14416_WT,O=S1(=O)c2cccc3cccc(c23)N1CCCCCCN1CCN(c2ccc(C(F)(F)F)cc2)CC1,P14416_WT,6.03
HAXCDBIFKSGOTN_on_P14416_WT,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(OCCOCCOCCF)cc2)CC1,P14416_WT,7.28
HBJXUXOERUVVGH_on_P14416_WT,CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCc2c(Br)cccc2C1,P14416_WT,6.6
HBSZYLFXYCHZJR_on_P14416_WT,Fc1ccc2c(C3CCN(CCCOc4ccc(CN5CCCC5)cc4Cl)CC3)noc2c1,P14416_WT,7.85
HBVMKSZWZCERSH_on_P14416_WT,COc1ccc(S(=O)(=O)NC2CCC(N3CCN(c4ccccc4OCC4CC4)CC3)CC2)cc1OC,P14416_WT,6.91
HBYKTDPONPUZPO_on_P14416_WT,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(I)s2)CC1,P14416_WT,7.29
HCCHXMMABQRBMV_on_P14416_WT,O=C1NCc2ccc(OCCCN3CCN(c4cccc5ccccc45)CC3)cc21,P14416_WT,7.79
HCHRWGMYPOWUFG_on_P14416_WT,COc1ccccc1N1CCN(CCCCc2cn(-c3ccc4c(c3)Cc3ccccc3-4)nn2)CC1,P14416_WT,7.24
HCJSXNXLTDYAKZ_on_P14416_WT,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN(CCCCNC(=O)c3cc4ccccc4o3)C2)c1O,P14416_WT,5.75
HCMQQWOQIHLJGQ_on_P14416_WT,Cc1ncoc1-c1nnc(SCCCN2CCC3(CCc4ccc(Br)cc43)C2)n1C,P14416_WT,7.4
HCQHYAXNIILCGJ_on_P14416_WT,O=C(CCCCCN1CCN(c2ccccc2-c2ccccc2)CC1)NCc1ccc(OCCCN2CCOCC2)cc1,P14416_WT,7.19
HCQPBJDAJVESML_on_P14416_WT,N#Cc1ccccc1N1CCN(CCCCNC(=O)c2ccc(-c3ccsc3)cc2)CC1,P14416_WT,7.03
HDARUHQXURTTIH_on_P14416_WT,COc1ccc(CN2CC=C(c3c[nH]c4ccccc34)CC2)cc1,P14416_WT,7.06
HDCVYYTWHHFQGS_on_P14416_WT,CCCN1CCC2Cc3c(cccc3OC)CC21,P14416_WT,7.0600000000000005
HDJCZKUMAPSZET_on_P14416_WT,O=C1N(CCN2CCCCCC2)CCN1c1ccncc1,P14416_WT,6.2
HDJYJCCQWSDIIV_on_P14416_WT,CC1CC(NS(=O)(=O)c2csc3ccccc23)CN1CCCc1noc2cc(F)ccc12,P14416_WT,7.27
HDONYUOCHXODQS_on_P14416_WT,CCOc1ccccc1N1CCN(Cc2cccs2)CC1,P14416_WT,6.79
HDQVTWXXANYCIU_on_P14416_WT,Oc1ccc2c(c1)C1OCCNC1CO2,P14416_WT,5.37
HDSVSOQGJMTVCW_on_P14416_WT,FC(F)(F)c1cccc(N2CCN(CCOc3ccc4[nH]c(=S)[nH]c4c3)CC2)c1,P14416_WT,8.23
HEEFMGUIOXQXAL_on_P14416_WT,O=S(=O)(NC1CCN(CCCc2noc3ccccc23)C1)c1cc2ccccc2s1,P14416_WT,8.57
HEEKUWDLPPDKMK_on_P14416_WT,CC(C)Oc1ccccc1N1CCN(C2CCC(NS(=O)(=O)c3ccccc3[N+](=O)[O-])CC2)CC1,P14416_WT,7.18
HEJDIFZOESZDQS_on_P14416_WT,O=C(NCCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccc2ccccc2c1,P14416_WT,5.81
HEJWFNURPGCDGT_on_P14416_WT,COc1ccccc1C(c1ccccc1OC)N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1,P14416_WT,6.5
HEKOGNYDDZRAAJ_on_P14416_WT,CCCc1c(C(=O)NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)nnn1Cc1ccccc1,P14416_WT,8.02
HEKVAXCQMOFXKK_on_P14416_WT,CS(=O)(=O)Nc1cc(OCCN2CC3CCC(C2)C3Cc2ccc3c(c2)NC(=O)CC3)ccc1F,P14416_WT,8.15
HFBUDRQPMNDKTM_on_P14416_WT,COc1cc2c(cc1O)CN(CCCCNC(=O)c1ccc(C(N)=O)cc1)CC2,P14416_WT,6.07
HFGAWEJFDVAEEA_on_P14416_WT,O=C(NCC=CCN1CCN(c2ccccc2OCCF)CC1)c1ccc(-c2ccsc2)cc1,P14416_WT,7.15
HFJVMFBCUWJLFO_on_P14416_WT,CCS(=O)(=O)NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1,P14416_WT,5.96
HFOWGUWAWCYGBG_on_P14416_WT,CCOc1ccc(C(O)CN2CCN(c3ccccc3F)CC2)cc1,P14416_WT,5.7
HFPHPWOFSUNVRW_on_P14416_WT,CC1COC(c2ccc(N)nc2)CN1CC=C1CCC(CNC(=O)c2cc3ccccc3[nH]2)C1,P14416_WT,6.175
HFPUZJYAPWLJOL_on_P14416_WT,CN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCc2c(O)cccc2C1,P14416_WT,6.9
HFZAKKDYDONOQJ_on_P14416_WT,COc1ccc2[nH]cc(CN3C4CCC3CC(O)(c3ccc(Cl)cc3)C4)c2c1,P14416_WT,7.41
HGCNXEAQMMJLQX_on_P14416_WT,COc1ccc(-c2ccccc2N2CCN(CCCCCC(=O)NCc3ccc(C#N)cc3)CC2)cc1,P14416_WT,6.53
HGDNRYBOAYQHNG_on_P14416_WT,CC(C)C(=O)NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1,P14416_WT,6.15
HGHZRWWRCHMWQC_on_P14416_WT,O=C(NCC=CC[N+]1([O-])CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,P14416_WT,5.94
HGJYUXFMUSKRHL_on_P14416_WT,Clc1cccc(N2CCN(CCCCNc3ccccn3)CC2)c1Cl,P14416_WT,9.4
HGMFNQHREUMSGP_on_P14416_WT,O=C1c2cccc3cccc(c23)N1CCCCCCN1CCN(c2nsc3ccccc23)CC1,P14416_WT,7.25
HGMMGLOURNIPOW_on_P14416_WT,CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccc(Cl)cc3)c3ccccc32)CC1,P14416_WT,5.03
HGRPPZKIXIZLRX_on_P14416_WT,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(F)cc2)CC1,P14416_WT,6.93
HGTXIMQXSUJVEC_on_P14416_WT,Oc1cc2ccccc2n1CCCCN1CCN(c2ccc(Cl)cc2)CC1,P14416_WT,6.095
HGUWLKIMYDVIHQ_on_P14416_WT,Cn1cc(S(=O)(=O)N(CC2CC2)C2CCN(CCOc3ccccc3C(C)(C)C)CC2)cn1,P14416_WT,6.64
HGXOYRHWXVIMEH_on_P14416_WT,CN1C(=O)c2ccccc2[S+](O)c2ccc(C(=O)NCCc3cccs3)cc21,P14416_WT,6.859999999999999
HGYQVRAMBVYKQO_on_P14416_WT,N#Cc1cc(N2CCN(CCN3CCC(C(F)(F)F)CC3)C2=O)ccc1F,P14416_WT,6.0
HHAWPWAQIRBXKW_on_P14416_WT,Cc1ccc(C(=O)NC2CCC(CCN3CCC(c4cccc5c4CCO5)CC3)CC2)cn1,P14416_WT,6.82
HHJZLMLSFAAFSL_on_P14416_WT,CSc1ccccc1N1CCN(CCCCCC(=O)NCc2ccccc2)CC1,P14416_WT,7.48
HHNGFUDNXPRRFY_on_P14416_WT,COc1ccccc1N1CC2(CN(CCCSc3nnc(-c4ccccc4)n3C)C2)C1,P14416_WT,4.67
HHRGFYRLYOYIFM_on_P14416_WT,CCC(=O)NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1,P14416_WT,6.09
HHTPKGOFGTYZBP_on_P14416_WT,O=C1N(CCN2Cc3ccccc3C2)CCN1c1ccc2occc2c1,P14416_WT,6.0
HHVQGHMBHYXHGF_on_P14416_WT,Fc1ccc(CCCCN2CCN(c3ccc(Cl)cn3)CC2)cc1,P14416_WT,6.71
HIASEHRDTBGCHW_on_P14416_WT,COc1ccccc1OCCNCC1COCC(c2ccccc2)(c2ccccc2)O1,P14416_WT,7.91
HIFGIGWFWSVOEK_on_P14416_WT,FC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,P14416_WT,6.92
HIGILHVUMICSAW_on_P14416_WT,O=C(NCCCCN1CCN(c2cc3ccc2CCc2ccc(cc2)CC3)CC1)c1cc2ccccc2s1,P14416_WT,6.95
HINWGODKQABLIJ_on_P14416_WT,CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)CCC3CCCC3)c3ccccc32)CC1,P14416_WT,5.71
